variable	V1	V2	V3
ko00010	-0	-0	0
ko00020	0	0	-0
ko00030	-0	-0	0
ko00040	0	0.09807764121738394	-0
ko00051	-0	-0	0
ko00052	-0	-0	0.06904379670862082
ko00053	0	0	-0
ko00061	0	0	-0.09212266194058315
ko00071	-0	-0	0
ko00072	-0	-0	0
ko00100	0	0	-0
ko00120	-0	-0	0
ko00121	-0	-0	0
ko00130	0	0	-0
ko00140	0	0	-0
ko00190	0	0	-0
ko00195	-0	-0	0.013030832990327739
ko00220	0	0	-0
ko00230	-0	-0	0.04953492897151305
ko00240	-0	-0	0
ko00250	-0	-0	0
ko00260	0	0	-0
ko00261	0	0	-0
ko00270	0	0	-0.015464220637784288
ko00280	0	0	-0
ko00281	-0	-0	0
ko00290	0	0	-0
ko00300	0	0	-0
ko00310	0	0	-0
ko00311	-0	-0	0.01878896283537072
ko00330	0	0	-0
ko00332	0	0	-0
ko00333	0	0	-0
ko00340	0	0	-0
ko00350	0	0	-0
ko00360	0	0	-0
ko00361	0.04429524328071712	0	-0
ko00362	-0	-0	0
ko00364	0.0911057889468894	0	-0
ko00380	0	0	-0
ko00400	0	0	-0
ko00401	0	0	-0
ko00405	0	0	-0
ko00410	0	0	-0
ko00430	-0	-0	0
ko00440	0	0	-0
ko00450	0	0	-0
ko00460	-0	-0	0
ko00471	-0	-0	0
ko00472	0.24624096682770819	0	-0
ko00473	-0	-0.08256921611905897	0
ko00480	-0	-0	0
ko00500	-0	-0	0
ko00511	0	0	-0
ko00513	0	0	-0
ko00514	0	0.21704866294983508	-0
ko00515	0	0.21704866294983508	-0
ko00520	-0	-0	0.08361408035340943
ko00521	-0.4377024926907218	0	-0
ko00523	-0.241363909694901	-0	0
ko00524	-0	-0	0.3435224904958267
ko00525	0	0	-0
ko00531	0	0	-0
ko00540	0	0	-0
ko00550	-0	-0	0
ko00561	-0	-0	0
ko00562	0	0	-0
ko00564	-0	-0	0.35887165260910275
ko00565	0	0	-0
ko00571	0	0	-0
ko00590	-0	-0	0
ko00592	-0	-0	0
ko00600	0	0	-0
ko00603	0	0	-0
ko00604	0	0	-0
ko00620	-0	-0	0
ko00621	-0	-0	0
ko00622	0	0	-0
ko00623	0	0	-0
ko00624	0	0.2805934356618573	0
ko00625	-0	-0	0
ko00626	-0	-0	0
ko00627	-0	-0	0
ko00630	0	0	-0
ko00633	0	0	-0
ko00640	0.10809100308160437	0	-0
