dataset	culture_day	pathway	feature_counts	sig_feature_counts	features	sig_features
BPS_high_wk07	d1	map00515	3	3	275.07567__1.631;275.07567__1.631;275.07567__1.631	275.07567__1.631;275.07567__1.631;275.07567__1.631
BPS_high_wk07	d1	map00760	25	3	138.01851__0.392;156.99396__1.426;156.99396__1.426;156.99396__1.426;156.99414__2.325;173.00832__0.434;179.05512__0.505;179.05516__4.587;179.05518__0.476;179.05518__0.713;179.05563__2.611;191.01893__0.927;191.01899__0.877;191.01902__1.159;191.01903__1.199;191.01903__4.876;191.01907__1.949;191.0191__4.852;191.01918__0.417;255.04841__0.699;255.04862__0.725;315.25413__1.597;405.26456__1.555;405.26458__1.587;405.26467__2.547	156.99396__1.426;156.99396__1.426;156.99396__1.426
BPS_high_wk07	d1	map00907	9	1	195.13834__1.526;203.08194__0.936;213.11287__7.72;213.11287__7.72;258.03855__6.013;309.20713__1.575;345.21008__1.657;345.21015__1.62;391.28571__8.863	195.13834__1.526
BPS_high_wk07	d1	map00984	19	2	171.00482__4.333;171.00482__4.806;179.05512__0.505;179.05516__4.587;179.05518__0.476;179.05518__0.713;179.05563__2.611;181.01349__1.244;181.01351__1.172;199.02349__4.831;199.02411__1.033;199.02412__0.925;199.02416__1.101;265.01805__2.317;265.01805__2.317;265.01822__6.79;265.18058__1.686;265.18077__1.549;265.18112__8.292	265.01805__2.317;265.01805__2.317
BPS_high_wk07	d1	map04261	5	3	163.03903__2.57;275.07567__1.631;275.07567__1.631;275.07567__1.631;327.08775__1.09	275.07567__1.631;275.07567__1.631;275.07567__1.631
BPS_high_wk07	d1	map04382	3	3	275.07567__1.631;275.07567__1.631;275.07567__1.631	275.07567__1.631;275.07567__1.631;275.07567__1.631
BPS_high_wk07	d1	map04923	14	3	129.01809__0.359;144.02906__0.972;144.02909__0.466;144.02912__0.431;149.04446__1.047;149.04451__0.435;149.0446__0.865;149.04462__4.821;163.03903__2.57;195.05026__1.002;275.07567__1.631;275.07567__1.631;275.07567__1.631;327.08775__1.09	275.07567__1.631;275.07567__1.631;275.07567__1.631
BPS_high_wk07	d1	map04924	7	3	129.01809__0.359;144.02906__0.972;144.02909__0.466;144.02912__0.431;275.07567__1.631;275.07567__1.631;275.07567__1.631	275.07567__1.631;275.07567__1.631;275.07567__1.631
BPS_high_wk07	d2	map00515	3	3	275.07567__1.631;275.07567__1.631;275.07567__1.631	275.07567__1.631;275.07567__1.631;275.07567__1.631
BPS_high_wk07	d2	map00760	25	3	138.01851__0.392;156.99396__1.426;156.99396__1.426;156.99396__1.426;156.99414__2.325;173.00832__0.434;179.05512__0.505;179.05516__4.587;179.05518__0.476;179.05518__0.713;179.05563__2.611;191.01893__0.927;191.01899__0.877;191.01902__1.159;191.01903__1.199;191.01903__4.876;191.01907__1.949;191.0191__4.852;191.01918__0.417;255.04841__0.699;255.04862__0.725;315.25413__1.597;405.26456__1.555;405.26458__1.587;405.26467__2.547	156.99396__1.426;156.99396__1.426;156.99396__1.426
BPS_high_wk07	d2	map00907	9	1	195.13834__1.526;203.08194__0.936;213.11287__7.72;213.11287__7.72;258.03855__6.013;309.20713__1.575;345.21008__1.657;345.21015__1.62;391.28571__8.863	195.13834__1.526
BPS_high_wk07	d2	map00984	19	2	171.00482__4.333;171.00482__4.806;179.05512__0.505;179.05516__4.587;179.05518__0.476;179.05518__0.713;179.05563__2.611;181.01349__1.244;181.01351__1.172;199.02349__4.831;199.02411__1.033;199.02412__0.925;199.02416__1.101;265.01805__2.317;265.01805__2.317;265.01822__6.79;265.18058__1.686;265.18077__1.549;265.18112__8.292	265.01805__2.317;265.01805__2.317
BPS_high_wk07	d2	map04261	5	3	163.03903__2.57;275.07567__1.631;275.07567__1.631;275.07567__1.631;327.08775__1.09	275.07567__1.631;275.07567__1.631;275.07567__1.631
BPS_high_wk07	d2	map04382	3	3	275.07567__1.631;275.07567__1.631;275.07567__1.631	275.07567__1.631;275.07567__1.631;275.07567__1.631
BPS_high_wk07	d2	map04923	14	3	129.01809__0.359;144.02906__0.972;144.02909__0.466;144.02912__0.431;149.04446__1.047;149.04451__0.435;149.0446__0.865;149.04462__4.821;163.03903__2.57;195.05026__1.002;275.07567__1.631;275.07567__1.631;275.07567__1.631;327.08775__1.09	275.07567__1.631;275.07567__1.631;275.07567__1.631
BPS_high_wk07	d2	map04924	7	3	129.01809__0.359;144.02906__0.972;144.02909__0.466;144.02912__0.431;275.07567__1.631;275.07567__1.631;275.07567__1.631	275.07567__1.631;275.07567__1.631;275.07567__1.631
BPS_high_wk07	d2	map07015	2	2	213.05515__1.498;213.05515__1.498	213.05515__1.498;213.05515__1.498
BPS_high_wk07	d7	map00360	20	3	129.01809__0.359;129.01809__0.359;149.04446__1.047;149.04451__0.435;149.0446__0.865;149.04462__4.821;163.03903__2.57;167.03337__4.846;167.03392__0.676;167.03397__0.381;195.05026__1.002;209.04361__3.474;209.04361__3.81;209.04463__7.022;209.04483__1.331;209.04504__1.394;209.04504__1.394;209.04504__1.394;269.06597__2.294;327.08775__1.09	209.04504__1.394;209.04504__1.394;209.04504__1.394
BPS_high_wk07	d7	map00515	3	3	275.07567__1.631;275.07567__1.631;275.07567__1.631	275.07567__1.631;275.07567__1.631;275.07567__1.631
BPS_high_wk07	d7	map00760	25	3	138.01851__0.392;156.99396__1.426;156.99396__1.426;156.99396__1.426;156.99414__2.325;173.00832__0.434;179.05512__0.505;179.05516__4.587;179.05518__0.476;179.05518__0.713;179.05563__2.611;191.01893__0.927;191.01899__0.877;191.01902__1.159;191.01903__1.199;191.01903__4.876;191.01907__1.949;191.0191__4.852;191.01918__0.417;255.04841__0.699;255.04862__0.725;315.25413__1.597;405.26456__1.555;405.26458__1.587;405.26467__2.547	156.99396__1.426;156.99396__1.426;156.99396__1.426
BPS_high_wk07	d7	map00790	21	2	171.00482__4.333;171.00482__4.806;179.05512__0.505;179.05516__4.587;179.05518__0.476;179.05518__0.713;179.05563__2.611;197.04408__0.813;197.04417__4.861;197.04425__4.815;197.04443__1.068;197.04443__1.965;197.04444__0.841;197.04454__1.337;197.04454__1.337;197.04473__0.917;197.04474__0.458;197.04476__1.227;405.26456__1.555;405.26458__1.587;405.26467__2.547	197.04454__1.337;197.04454__1.337
BPS_high_wk07	d7	map00944	22	3	107.04881__2.145;149.04446__1.047;149.04451__0.435;149.0446__0.865;149.04462__4.821;151.02495__0.678;151.02503__0.756;151.02519__2.215;179.05512__0.505;179.05516__4.587;179.05518__0.476;179.05518__0.713;179.05563__2.611;195.05026__1.002;209.04361__3.474;209.04361__3.81;209.04463__7.022;209.04483__1.331;209.04504__1.394;209.04504__1.394;209.04504__1.394;269.06597__2.294	209.04504__1.394;209.04504__1.394;209.04504__1.394
BPS_high_wk07	d7	map01057	7	2	178.08653__1.273;178.08669__4.576;239.06695__1.504;239.06695__1.504;239.067__1.474;457.11414__1.356;457.11467__1.351	239.06695__1.504;239.06695__1.504
BPS_high_wk07	d7	map04261	5	3	163.03903__2.57;275.07567__1.631;275.07567__1.631;275.07567__1.631;327.08775__1.09	275.07567__1.631;275.07567__1.631;275.07567__1.631
BPS_high_wk07	d7	map04382	3	3	275.07567__1.631;275.07567__1.631;275.07567__1.631	275.07567__1.631;275.07567__1.631;275.07567__1.631
BPS_high_wk07	d7	map04923	14	3	129.01809__0.359;144.02906__0.972;144.02909__0.466;144.02912__0.431;149.04446__1.047;149.04451__0.435;149.0446__0.865;149.04462__4.821;163.03903__2.57;195.05026__1.002;275.07567__1.631;275.07567__1.631;275.07567__1.631;327.08775__1.09	275.07567__1.631;275.07567__1.631;275.07567__1.631
BPS_high_wk07	d7	map04924	7	3	129.01809__0.359;144.02906__0.972;144.02909__0.466;144.02912__0.431;275.07567__1.631;275.07567__1.631;275.07567__1.631	275.07567__1.631;275.07567__1.631;275.07567__1.631
BPS_high_wk07	d7	map07015	2	2	213.05515__1.498;213.05515__1.498	213.05515__1.498;213.05515__1.498
BPS_high_wk12	d1	map00360	20	3	129.01809__0.359;129.01809__0.359;149.04446__1.047;149.04451__0.435;149.0446__0.865;149.04462__4.821;163.03903__2.57;167.03337__4.846;167.03392__0.676;167.03397__0.381;195.05026__1.002;209.04361__3.474;209.04361__3.81;209.04463__7.022;209.04483__1.331;209.04504__1.394;209.04504__1.394;209.04504__1.394;269.06597__2.294;327.08775__1.09	209.04504__1.394;209.04504__1.394;209.04504__1.394
BPS_high_wk12	d1	map00515	3	3	275.07567__1.631;275.07567__1.631;275.07567__1.631	275.07567__1.631;275.07567__1.631;275.07567__1.631
BPS_high_wk12	d1	map00621	15	3	152.03421__0.382;163.07541__1.403;164.07067__0.757;164.07072__0.755;164.07084__2.56;265.01805__2.317;265.01805__2.317;265.01805__2.317;265.01822__6.79;271.06133__1.491;271.06134__1.513;271.06138__2.505;335.05745__1.635;443.25828__1.62;443.25957__1.592	265.01805__2.317;265.01805__2.317;265.01805__2.317
BPS_high_wk12	d1	map00760	25	3	138.01851__0.392;156.99396__1.426;156.99396__1.426;156.99396__1.426;156.99414__2.325;173.00832__0.434;179.05512__0.505;179.05516__4.587;179.05518__0.476;179.05518__0.713;179.05563__2.611;191.01893__0.927;191.01899__0.877;191.01902__1.159;191.01903__1.199;191.01903__4.876;191.01907__1.949;191.0191__4.852;191.01918__0.417;255.04841__0.699;255.04862__0.725;315.25413__1.597;405.26456__1.555;405.26458__1.587;405.26467__2.547	156.99396__1.426;156.99396__1.426;156.99396__1.426
BPS_high_wk12	d1	map00945	12	2	149.04446__1.047;149.04451__0.435;149.0446__0.865;149.04462__4.821;191.07074__1.411;191.07074__1.411;195.05026__1.002;345.21008__1.657;345.21015__1.62;367.21216__1.494;367.21218__1.452;367.21226__2.318	191.07074__1.411;191.07074__1.411
BPS_high_wk12	d1	map00981	6	3	249.14825__1.419;249.14825__1.419;249.14825__1.419;249.1492__1.438;249.14923__0.857;249.15149__1.562	249.14825__1.419;249.14825__1.419;249.14825__1.419
BPS_high_wk12	d1	map00984	20	3	171.00482__4.333;171.00482__4.806;179.05512__0.505;179.05516__4.587;179.05518__0.476;179.05518__0.713;179.05563__2.611;181.01349__1.244;181.01351__1.172;199.02349__4.831;199.02411__1.033;199.02412__0.925;199.02416__1.101;265.01805__2.317;265.01805__2.317;265.01805__2.317;265.01822__6.79;265.18058__1.686;265.18077__1.549;265.18112__8.292	265.01805__2.317;265.01805__2.317;265.01805__2.317
